commodity,variety,market,district,date,min_price,max_price,modal_price,arrival_qty
Onion,Standard,Lasalgaon,Nashik,2026-07-26,1805,2011,1900,76
Onion,Standard,Lasalgaon,Nashik,2026-07-27,1820,1988,1902,269
Onion,Standard,Lasalgaon,Nashik,2026-07-28,1714,1969,1813,108
Onion,Standard,Lasalgaon,Nashik,2026-07-29,1735,1964,1860,443
Onion,Standard,Lasalgaon,Nashik,2026-07-30,1694,1990,1856,378
Onion,Standard,Lasalgaon,Nashik,2026-07-31,1684,2016,1833,342
Onion,Standard,Lasalgaon,Nashik,2026-08-01,1733,1949,1861,151
Onion,Standard,Lasalgaon,Nashik,2026-08-02,1732,1952,1852,149
Onion,Standard,Lasalgaon,Nashik,2026-08-03,1711,1922,1824,457
Onion,Standard,Lasalgaon,Nashik,2026-08-04,1731,2018,1914,351
Onion,Standard,Lasalgaon,Nashik,2026-08-05,1673,2020,1843,307
Onion,Standard,Lasalgaon,Nashik,2026-08-06,1775,2040,1874,136
Onion,Standard,Lasalgaon,Nashik,2026-08-07,1698,1954,1834,260
Onion,Standard,Lasalgaon,Nashik,2026-08-08,1793,2096,1907,94
Onion,Standard,Lasalgaon,Nashik,2026-08-09,1723,2044,1872,162
Onion,Standard,Lasalgaon,Nashik,2026-08-10,1715,1971,1850,175
Onion,Standard,Lasalgaon,Nashik,2026-08-11,1775,1982,1858,438
Onion,Standard,Lasalgaon,Nashik,2026-08-12,1710,2083,1894,426
Onion,Standard,Lasalgaon,Nashik,2026-08-13,1857,2120,1943,125
Onion,Standard,Lasalgaon,Nashik,2026-08-14,1725,2011,1890,76
Onion,Standard,Lasalgaon,Nashik,2026-08-15,1803,1985,1880,403
Onion,Standard,Lasalgaon,Nashik,2026-08-16,1749,2074,1890,498
Onion,Standard,Lasalgaon,Nashik,2026-08-17,1796,1998,1904,184
Onion,Standard,Lasalgaon,Nashik,2026-08-18,1825,2094,1952,387
Onion,Standard,Lasalgaon,Nashik,2026-08-19,1730,1980,1850,434
Onion,Standard,Lasalgaon,Nashik,2026-08-20,1784,1946,1863,134
Onion,Standard,Lasalgaon,Nashik,2026-08-21,1801,2019,1915,104
Onion,Standard,Lasalgaon,Nashik,2026-08-22,1785,2099,1951,329
Tomato,Standard,Pune,Pune,2026-06-24,1116,1279,1194,471
Tomato,Standard,Pune,Pune,2026-06-25,1110,1241,1177,228
Tomato,Standard,Pune,Pune,2026-06-26,1110,1280,1209,388
Tomato,Standard,Pune,Pune,2026-06-27,1081,1281,1165,498
Tomato,Standard,Pune,Pune,2026-06-28,1062,1228,1163,470
Tomato,Standard,Pune,Pune,2026-06-29,1161,1295,1219,121
Tomato,Standard,Pune,Pune,2026-06-30,1144,1307,1214,494
Tomato,Standard,Pune,Pune,2026-07-01,1081,1307,1200,185
Tomato,Standard,Pune,Pune,2026-07-02,1147,1257,1199,102
Tomato,Standard,Pune,Pune,2026-07-03,1081,1223,1158,322
Tomato,Standard,Pune,Pune,2026-07-04,1094,1293,1199,169
Tomato,Standard,Pune,Pune,2026-07-05,1128,1289,1182,92
Tomato,Standard,Pune,Pune,2026-07-06,1077,1222,1175,397
Tomato,Standard,Pune,Pune,2026-07-07,1089,1289,1189,298
Tomato,Standard,Pune,Pune,2026-07-08,1055,1224,1172,447
Tomato,Standard,Pune,Pune,2026-07-09,1124,1314,1205,312
Tomato,Standard,Pune,Pune,2026-07-10,1044,1217,1150,455
Tomato,Standard,Pune,Pune,2026-07-11,1136,1306,1194,145
Tomato,Standard,Pune,Pune,2026-07-12,1046,1254,1154,448
Tomato,Standard,Pune,Pune,2026-07-13,1090,1220,1163,468
Tomato,Standard,Pune,Pune,2026-07-14,1145,1300,1194,447
Tomato,Standard,Pune,Pune,2026-07-15,1070,1201,1133,469
Tomato,Standard,Pune,Pune,2026-07-16,1129,1291,1186,170
Tomato,Standard,Pune,Pune,2026-07-17,1072,1292,1183,436
Tomato,Standard,Pune,Pune,2026-07-18,1084,1219,1142,187
Tomato,Standard,Pune,Pune,2026-07-19,1079,1230,1181,137
Tomato,Standard,Pune,Pune,2026-07-20,1091,1258,1146,176
Tomato,Standard,Pune,Pune,2026-07-21,1078,1282,1167,291
Tomato,Standard,Pune,Pune,2026-07-22,1076,1302,1186,130
Tomato,Standard,Pune,Pune,2026-07-23,1086,1241,1186,246
Tomato,Standard,Pune,Pune,2026-07-24,1073,1257,1168,280
Tomato,Standard,Pune,Pune,2026-07-25,1067,1205,1142,369
Tomato,Standard,Pune,Pune,2026-07-26,1064,1195,1114,374
Tomato,Standard,Pune,Pune,2026-07-27,1094,1236,1164,81
Tomato,Standard,Pune,Pune,2026-07-28,1064,1225,1157,432
Tomato,Standard,Pune,Pune,2026-07-29,1064,1227,1159,234
Tomato,Standard,Pune,Pune,2026-07-30,1043,1190,1136,239
Tomato,Standard,Pune,Pune,2026-07-31,1101,1281,1171,327
Tomato,Standard,Pune,Pune,2026-08-01,1050,1171,1126,179
Tomato,Standard,Pune,Pune,2026-08-02,1059,1223,1133,259
Tomato,Standard,Pune,Pune,2026-08-03,1033,1209,1132,456
Tomato,Standard,Pune,Pune,2026-08-04,1051,1207,1155,282
Tomato,Standard,Pune,Pune,2026-08-05,1051,1244,1142,388
Tomato,Standard,Pune,Pune,2026-08-06,1044,1202,1143,61
Tomato,Standard,Pune,Pune,2026-08-07,1033,1213,1112,83
Tomato,Standard,Pune,Pune,2026-08-08,1052,1180,1122,363
Tomato,Standard,Pune,Pune,2026-08-09,1030,1215,1126,52
Tomato,Standard,Pune,Pune,2026-08-10,1081,1195,1142,241
Tomato,Standard,Pune,Pune,2026-08-11,1054,1179,1101,73
Tomato,Standard,Pune,Pune,2026-08-12,1051,1179,1105,411
Tomato,Standard,Pune,Pune,2026-08-13,1085,1217,1131,478
Tomato,Standard,Pune,Pune,2026-08-14,1073,1240,1145,277
Tomato,Standard,Pune,Pune,2026-08-15,1063,1246,1139,385
Tomato,Standard,Pune,Pune,2026-08-16,1020,1175,1114,337
Tomato,Standard,Pune,Pune,2026-08-17,1053,1219,1131,174
Tomato,Standard,Pune,Pune,2026-08-18,994,1145,1084,194
Tomato,Standard,Pune,Pune,2026-08-19,1011,1173,1113,362
Tomato,Standard,Pune,Pune,2026-08-20,1015,1195,1123,294
Tomato,Standard,Pune,Pune,2026-08-21,1005,1174,1102,457
Tomato,Standard,Pune,Pune,2026-08-22,1046,1213,1111,395
Soybean,Standard,Latur,Latur,2026-06-24,3754,4425,4170,389
Soybean,Standard,Latur,Latur,2026-06-25,4106,4569,4290,386
Soybean,Standard,Latur,Latur,2026-06-26,3945,4438,4214,149
Soybean,Standard,Latur,Latur,2026-06-27,3776,4440,4188,356
Soybean,Standard,Latur,Latur,2026-06-28,3804,4465,4181,107
Soybean,Standard,Latur,Latur,2026-06-29,3821,4508,4238,304
Soybean,Standard,Latur,Latur,2026-06-30,3838,4286,4089,258
Soybean,Standard,Latur,Latur,2026-07-01,3780,4312,4096,197
Soybean,Standard,Latur,Latur,2026-07-02,3947,4641,4277,424
Soybean,Standard,Latur,Latur,2026-07-03,3755,4321,4150,293
Soybean,Standard,Latur,Latur,2026-07-04,3997,4683,4340,402
Soybean,Standard,Latur,Latur,2026-07-05,4021,4667,4254,140
Soybean,Standard,Latur,Latur,2026-07-06,3723,4290,4095,351
Soybean,Standard,Latur,Latur,2026-07-07,3866,4581,4234,395
Soybean,Standard,Latur,Latur,2026-07-08,3872,4486,4135,102
Soybean,Standard,Latur,Latur,2026-07-09,4121,4502,4302,62
Soybean,Standard,Latur,Latur,2026-07-10,3927,4582,4175,228
Soybean,Standard,Latur,Latur,2026-07-11,3870,4626,4278,332
Soybean,Standard,Latur,Latur,2026-07-12,3903,4499,4124,320
Soybean,Standard,Latur,Latur,2026-07-13,3962,4490,4131,206
Soybean,Standard,Latur,Latur,2026-07-14,3883,4506,4210,204
Soybean,Standard,Latur,Latur,2026-07-15,4099,4518,4318,482
Soybean,Standard,Latur,Latur,2026-07-16,4051,4617,4265,246
Soybean,Standard,Latur,Latur,2026-07-17,4111,4533,4292,414
Soybean,Standard,Latur,Latur,2026-07-18,3942,4524,4243,379
Soybean,Standard,Latur,Latur,2026-07-19,3972,4551,4176,89
Soybean,Standard,Latur,Latur,2026-07-20,3963,4627,4333,325
Soybean,Standard,Latur,Latur,2026-07-21,3794,4590,4207,132
Soybean,Standard,Latur,Latur,2026-07-22,3949,4418,4166,446
Soybean,Standard,Latur,Latur,2026-07-23,3934,4466,4292,477
Soybean,Standard,Latur,Latur,2026-07-24,3902,4424,4137,391
Soybean,Standard,Latur,Latur,2026-07-25,4029,4590,4292,407
Soybean,Standard,Latur,Latur,2026-07-26,3782,4479,4141,188
Soybean,Standard,Latur,Latur,2026-07-27,3961,4574,4267,241
Soybean,Standard,Latur,Latur,2026-07-28,3965,4664,4310,172
Soybean,Standard,Latur,Latur,2026-07-29,3798,4402,4186,104
Soybean,Standard,Latur,Latur,2026-07-30,4029,4478,4260,147
Soybean,Standard,Latur,Latur,2026-07-31,4008,4667,4248,286
Soybean,Standard,Latur,Latur,2026-08-01,3804,4415,4198,152
Soybean,Standard,Latur,Latur,2026-08-02,3759,4474,4173,173
Soybean,Standard,Latur,Latur,2026-08-03,4085,4735,4377,107
Soybean,Standard,Latur,Latur,2026-08-04,4045,4754,4352,308
Soybean,Standard,Latur,Latur,2026-08-05,3938,4468,4251,73
Soybean,Standard,Latur,Latur,2026-08-06,4061,4764,4373,230
Soybean,Standard,Latur,Latur,2026-08-07,3895,4332,4153,117
Soybean,Standard,Latur,Latur,2026-08-08,3929,4705,4279,103
Soybean,Standard,Latur,Latur,2026-08-09,4056,4711,4332,152
Soybean,Standard,Latur,Latur,2026-08-10,3960,4556,4272,437
Soybean,Standard,Latur,Latur,2026-08-11,4034,4732,4393,324
Soybean,Standard,Latur,Latur,2026-08-12,4143,4557,4330,145
Soybean,Standard,Latur,Latur,2026-08-13,3921,4528,4311,84
Soybean,Standard,Latur,Latur,2026-08-14,3842,4457,4144,181
Soybean,Standard,Latur,Latur,2026-08-15,3962,4549,4204,254
Soybean,Standard,Latur,Latur,2026-08-16,4129,4699,4322,331
Soybean,Standard,Latur,Latur,2026-08-17,4127,4600,4317,295
Soybean,Standard,Latur,Latur,2026-08-18,4119,4702,4315,82
Soybean,Standard,Latur,Latur,2026-08-19,3851,4549,4193,306
Soybean,Standard,Latur,Latur,2026-08-20,3835,4570,4226,365
Soybean,Standard,Latur,Latur,2026-08-21,4087,4701,4395,86
Soybean,Standard,Latur,Latur,2026-08-22,3856,4411,4164,163
Tur,Standard,Akola,Akola,2026-06-24,6539,7444,6828,309
Tur,Standard,Akola,Akola,2026-06-25,6903,7769,7191,171
Tur,Standard,Akola,Akola,2026-06-26,6437,7274,6809,343
Tur,Standard,Akola,Akola,2026-06-27,6538,7717,7178,336
Tur,Standard,Akola,Akola,2026-06-28,6339,7427,7001,200
Tur,Standard,Akola,Akola,2026-06-29,6734,7500,7077,362
Tur,Standard,Akola,Akola,2026-06-30,6619,7532,6918,298
Tur,Standard,Akola,Akola,2026-07-01,6422,7404,6989,487
Tur,Standard,Akola,Akola,2026-07-02,6487,7661,6969,346
Tur,Standard,Akola,Akola,2026-07-03,6499,7388,7028,213
Tur,Standard,Akola,Akola,2026-07-04,6675,7729,7120,142
Tur,Standard,Akola,Akola,2026-07-05,6722,7500,7034,364
Tur,Standard,Akola,Akola,2026-07-06,6570,7380,6855,158
Tur,Standard,Akola,Akola,2026-07-07,6411,7374,6871,92
Tur,Standard,Akola,Akola,2026-07-08,6897,7713,7224,103
Tur,Standard,Akola,Akola,2026-07-09,6655,7751,7157,279
Tur,Standard,Akola,Akola,2026-07-10,6577,7607,6923,160
Tur,Standard,Akola,Akola,2026-07-11,6499,7712,7041,279
Tur,Standard,Akola,Akola,2026-07-12,6835,7587,7181,406
Tur,Standard,Akola,Akola,2026-07-13,6679,7478,6986,419
Tur,Standard,Akola,Akola,2026-07-14,6363,7453,6932,500
Tur,Standard,Akola,Akola,2026-07-15,6381,7528,7020,205
Tur,Standard,Akola,Akola,2026-07-16,6573,7522,7048,195
Tur,Standard,Akola,Akola,2026-07-17,6495,7408,6896,155
Tur,Standard,Akola,Akola,2026-07-18,6448,7749,7144,367
Tur,Standard,Akola,Akola,2026-07-19,6611,7733,7161,419
Tur,Standard,Akola,Akola,2026-07-20,6725,7538,7233,276
Tur,Standard,Akola,Akola,2026-07-21,6732,7724,7070,248
Tur,Standard,Akola,Akola,2026-07-22,6533,7631,7044,234
Tur,Standard,Akola,Akola,2026-07-23,6455,7583,7099,486
Tur,Standard,Akola,Akola,2026-07-24,6560,7517,6967,433
Tur,Standard,Akola,Akola,2026-07-25,6837,7636,7185,192
Tur,Standard,Akola,Akola,2026-07-26,6742,7788,7130,66
Tur,Standard,Akola,Akola,2026-07-27,6430,7509,6856,499
Tur,Standard,Akola,Akola,2026-07-28,6616,7472,7144,335
Tur,Standard,Akola,Akola,2026-07-29,6670,7786,7198,457
Tur,Standard,Akola,Akola,2026-07-30,6492,7245,6850,219
Tur,Standard,Akola,Akola,2026-07-31,6423,7403,6893,407
Tur,Standard,Akola,Akola,2026-08-01,6247,7542,6905,329
Tur,Standard,Akola,Akola,2026-08-02,6622,7273,6936,258
Tur,Standard,Akola,Akola,2026-08-03,6355,7225,6943,412
Tur,Standard,Akola,Akola,2026-08-04,6789,7574,7217,249
Tur,Standard,Akola,Akola,2026-08-05,6532,7531,6984,241
Tur,Standard,Akola,Akola,2026-08-06,6602,7305,6944,223
Tur,Standard,Akola,Akola,2026-08-07,6440,7567,7044,309
Tur,Standard,Akola,Akola,2026-08-08,6664,7977,7261,346
Tur,Standard,Akola,Akola,2026-08-09,6498,7523,6958,385
Tur,Standard,Akola,Akola,2026-08-10,6427,7343,6864,457
Tur,Standard,Akola,Akola,2026-08-11,6602,7497,6965,209
Tur,Standard,Akola,Akola,2026-08-12,6669,7689,7115,374
Tur,Standard,Akola,Akola,2026-08-13,6772,7680,7126,457
Tur,Standard,Akola,Akola,2026-08-14,6541,7594,7121,311
Tur,Standard,Akola,Akola,2026-08-15,6482,7572,7159,386
Tur,Standard,Akola,Akola,2026-08-16,6287,7425,6924,487
Tur,Standard,Akola,Akola,2026-08-17,6756,7712,7076,166
Tur,Standard,Akola,Akola,2026-08-18,6690,7839,7202,386
Tur,Standard,Akola,Akola,2026-08-19,6346,7681,6997,113
Tur,Standard,Akola,Akola,2026-08-20,6912,7870,7264,491
Tur,Standard,Akola,Akola,2026-08-21,6890,7716,7266,406
Tur,Standard,Akola,Akola,2026-08-22,6398,7325,6863,353
Cotton,Standard,Aurangabad,Aurangabad,2026-06-24,6424,7484,6870,473
Cotton,Standard,Aurangabad,Aurangabad,2026-06-25,6073,6920,6644,448
Cotton,Standard,Aurangabad,Aurangabad,2026-06-26,6524,7196,6832,78
Cotton,Standard,Aurangabad,Aurangabad,2026-06-27,6628,7347,6943,234
Cotton,Standard,Aurangabad,Aurangabad,2026-06-28,6378,7054,6666,272
Cotton,Standard,Aurangabad,Aurangabad,2026-06-29,6341,6972,6652,254
Cotton,Standard,Aurangabad,Aurangabad,2026-06-30,6508,7557,6890,239
Cotton,Standard,Aurangabad,Aurangabad,2026-07-01,6295,7372,6923,95
Cotton,Standard,Aurangabad,Aurangabad,2026-07-02,6308,7485,6823,65
Cotton,Standard,Aurangabad,Aurangabad,2026-07-03,6281,7436,6778,435
Cotton,Standard,Aurangabad,Aurangabad,2026-07-04,6277,7155,6670,490
Cotton,Standard,Aurangabad,Aurangabad,2026-07-05,6263,7127,6779,105
Cotton,Standard,Aurangabad,Aurangabad,2026-07-06,6476,7541,6984,339
Cotton,Standard,Aurangabad,Aurangabad,2026-07-07,6204,7484,6884,160
Cotton,Standard,Aurangabad,Aurangabad,2026-07-08,6251,6989,6694,394
Cotton,Standard,Aurangabad,Aurangabad,2026-07-09,6145,7351,6731,198
Cotton,Standard,Aurangabad,Aurangabad,2026-07-10,6401,6979,6709,436
Cotton,Standard,Aurangabad,Aurangabad,2026-07-11,6093,7081,6712,129
Cotton,Standard,Aurangabad,Aurangabad,2026-07-12,6246,7211,6928,405
Cotton,Standard,Aurangabad,Aurangabad,2026-07-13,6213,7098,6757,74
Cotton,Standard,Aurangabad,Aurangabad,2026-07-14,6491,7558,6968,264
Cotton,Standard,Aurangabad,Aurangabad,2026-07-15,6503,7311,6986,277
Cotton,Standard,Aurangabad,Aurangabad,2026-07-16,6371,7673,7059,440
Cotton,Standard,Aurangabad,Aurangabad,2026-07-17,6388,7561,6887,77
Cotton,Standard,Aurangabad,Aurangabad,2026-07-18,6351,7431,6873,271
Cotton,Standard,Aurangabad,Aurangabad,2026-07-19,6380,7370,7054,324
Cotton,Standard,Aurangabad,Aurangabad,2026-07-20,6149,7232,6709,297
Cotton,Standard,Aurangabad,Aurangabad,2026-07-21,6545,7310,6820,254
Cotton,Standard,Aurangabad,Aurangabad,2026-07-22,6286,7509,6939,434
Cotton,Standard,Aurangabad,Aurangabad,2026-07-23,6586,7541,6961,147
Cotton,Standard,Aurangabad,Aurangabad,2026-07-24,6288,7297,6882,254
Cotton,Standard,Aurangabad,Aurangabad,2026-07-25,6223,7322,6871,349
Cotton,Standard,Aurangabad,Aurangabad,2026-07-26,6234,7511,6857,80
Cotton,Standard,Aurangabad,Aurangabad,2026-07-27,6384,7373,7050,382
Cotton,Standard,Aurangabad,Aurangabad,2026-07-28,6576,7575,7045,303
Cotton,Standard,Aurangabad,Aurangabad,2026-07-29,6213,7267,6848,349
Cotton,Standard,Aurangabad,Aurangabad,2026-07-30,6689,7611,7026,486
Cotton,Standard,Aurangabad,Aurangabad,2026-07-31,6418,7488,6968,146
Cotton,Standard,Aurangabad,Aurangabad,2026-08-01,6389,7319,6994,430
Cotton,Standard,Aurangabad,Aurangabad,2026-08-02,6505,7390,6878,413
Cotton,Standard,Aurangabad,Aurangabad,2026-08-03,6786,7711,7080,326
Cotton,Standard,Aurangabad,Aurangabad,2026-08-04,6310,7669,6999,423
Cotton,Standard,Aurangabad,Aurangabad,2026-08-05,6236,7408,6846,189
Cotton,Standard,Aurangabad,Aurangabad,2026-08-06,6194,7513,6879,305
Cotton,Standard,Aurangabad,Aurangabad,2026-08-07,6276,7447,6908,64
Cotton,Standard,Aurangabad,Aurangabad,2026-08-08,6441,7516,7056,203
Cotton,Standard,Aurangabad,Aurangabad,2026-08-09,6511,7500,6902,305
Cotton,Standard,Aurangabad,Aurangabad,2026-08-10,6129,7122,6786,328
Cotton,Standard,Aurangabad,Aurangabad,2026-08-11,6447,7597,7036,269
Cotton,Standard,Aurangabad,Aurangabad,2026-08-12,6362,7534,6942,101
Cotton,Standard,Aurangabad,Aurangabad,2026-08-13,6365,7501,6941,269
Cotton,Standard,Aurangabad,Aurangabad,2026-08-14,6358,7492,7043,320
Cotton,Standard,Aurangabad,Aurangabad,2026-08-15,6216,7128,6771,112
Cotton,Standard,Aurangabad,Aurangabad,2026-08-16,6326,7156,6878,386
Cotton,Standard,Aurangabad,Aurangabad,2026-08-17,6319,7411,6848,275
Cotton,Standard,Aurangabad,Aurangabad,2026-08-18,6759,7443,7127,438
Cotton,Standard,Aurangabad,Aurangabad,2026-08-19,6126,7446,6798,438
Cotton,Standard,Aurangabad,Aurangabad,2026-08-20,6565,7606,7026,238
Cotton,Standard,Aurangabad,Aurangabad,2026-08-21,6161,7243,6836,411
Cotton,Standard,Aurangabad,Aurangabad,2026-08-22,6697,7721,7050,90
